state,year,quarter,transaction_type,count,amount,avg_transaction_value,year_quarter,transaction_category
Jammu & Kashmir,2023,3,Financial Services,31473,61895606.0,1966.6255520604964,2023-Q3,financial services
Jammu & Kashmir,2023,3,Others,203189,94339616.0,464.2948978537224,2023-Q3,others
Jammu & Kashmir,2019,1,Peer-to-peer payments,1913720,5414709531.836735,2829.4157618861354,2019-Q1,peer-to-peer payments
Jammu & Kashmir,2019,1,Recharge & bill payments,1131953,302663112.8884805,267.3813425897369,2019-Q1,recharge & bill payments
Jammu & Kashmir,2019,1,Merchant payments,452379,199219534.93760535,440.38192519459426,2019-Q1,merchant payments
Jammu & Kashmir,2019,1,Financial Services,43247,4593545.201922052,106.2165052355551,2019-Q1,financial services
Jammu & Kashmir,2019,1,Others,43688,30649751.65627311,701.5599628335724,2019-Q1,others
Jammu & Kashmir,2019,4,Peer-to-peer payments,310620,1799955855.9714913,5794.719773264733,2019-Q4,peer-to-peer payments
Jammu & Kashmir,2019,4,Merchant payments,91303,77859073.82317376,852.7548253964685,2019-Q4,merchant payments
Jammu & Kashmir,2019,4,Recharge & bill payments,84803,49065907.04578097,578.586925530712,2019-Q4,recharge & bill payments
Jammu & Kashmir,2019,4,Financial Services,197,213741.2862032762,1084.9811482399807,2019-Q4,financial services
Jammu & Kashmir,2019,4,Others,3005,2601419.6959477984,865.6970701989346,2019-Q4,others
Jammu & Kashmir,2019,2,Peer-to-peer payments,1180781,5666318253.462076,4798.788474291233,2019-Q2,peer-to-peer payments
Jammu & Kashmir,2019,2,Recharge & bill payments,706569,215937468.94414753,305.6141281943413,2019-Q2,recharge & bill payments
Jammu & Kashmir,2019,2,Merchant payments,353678,188931529.4882364,534.190787915099,2019-Q2,merchant payments
Jammu & Kashmir,2019,2,Financial Services,22663,2652961.353697454,117.0613490578235,2019-Q2,financial services
Jammu & Kashmir,2019,2,Others,32664,26301988.31534837,805.2286405629552,2019-Q2,others
Jammu & Kashmir,2019,3,Peer-to-peer payments,618694,3499425217.9582095,5656.148625909108,2019-Q3,peer-to-peer payments
Jammu & Kashmir,2019,3,Recharge & bill payments,318061,111964437.03321175,352.02189841952253,2019-Q3,recharge & bill payments
Jammu & Kashmir,2019,3,Merchant payments,165115,120736230.08884756,731.2250860845323,2019-Q3,merchant payments
Jammu & Kashmir,2019,3,Financial Services,2895,658515.8825482852,227.46662609612613,2019-Q3,financial services
Jammu & Kashmir,2019,3,Others,11761,11446090.81965122,973.2242853202296,2019-Q3,others
Jammu & Kashmir,2018,1,Recharge & bill payments,457813,78812610.35129012,172.15022367492867,2018-Q1,recharge & bill payments
Jammu & Kashmir,2018,1,Peer-to-peer payments,353621,861670157.9310012,2436.705280317066,2018-Q1,peer-to-peer payments
Jammu & Kashmir,2018,1,Financial Services,65683,10269382.6199755,156.34764885854025,2018-Q1,financial services
Jammu & Kashmir,2018,1,Merchant payments,28696,30967525.638810236,1079.1582673128742,2018-Q1,merchant payments
Jammu & Kashmir,2018,1,Others,35755,23651562.715049967,661.489657811494,2018-Q1,others
Jammu & Kashmir,2018,4,Peer-to-peer payments,1265457,5151829745.262983,4071.121930862118,2018-Q4,peer-to-peer payments
Jammu & Kashmir,2018,4,Recharge & bill payments,970724,254473764.00233167,262.1484211808214,2018-Q4,recharge & bill payments
Jammu & Kashmir,2018,4,Merchant payments,402303,215771001.5429565,536.339529019064,2018-Q4,merchant payments
Jammu & Kashmir,2018,4,Financial Services,33775,6072177.152358056,179.78318733850648,2018-Q4,financial services
Jammu & Kashmir,2018,4,Others,49051,36573577.73688933,745.6234885504747,2018-Q4,others
Jammu & Kashmir,2018,2,Recharge & bill payments,794502,166762242.91718757,209.89530915867746,2018-Q2,recharge & bill payments
Jammu & Kashmir,2018,2,Peer-to-peer payments,771844,2372961687.5536175,3074.4058223599814,2018-Q2,peer-to-peer payments
Jammu & Kashmir,2018,2,Financial Services,112422,15636116.81386063,139.08413668019276,2018-Q2,financial services
Jammu & Kashmir,2018,2,Merchant payments,79248,64454257.5252622,813.3234595858848,2018-Q2,merchant payments
Jammu & Kashmir,2018,2,Others,38310,31391931.692946266,819.4187338278848,2018-Q2,others
Jammu & Kashmir,2018,3,Peer-to-peer payments,1260453,3616022745.5645847,2868.8279099376055,2018-Q3,peer-to-peer payments
Jammu & Kashmir,2018,3,Recharge & bill payments,822143,203079955.34644008,247.01293491088543,2018-Q3,recharge & bill payments
Jammu & Kashmir,2018,3,Merchant payments,140076,82826475.18797052,591.2966902822077,2018-Q3,merchant payments
Jammu & Kashmir,2018,3,Financial Services,44464,6397888.3546260595,143.88917674132017,2018-Q3,financial services
Jammu & Kashmir,2018,3,Others,36825,26373935.004048545,716.1964698994852,2018-Q3,others
Jammu & Kashmir,2020,1,Peer-to-peer payments,435154,2654638582.0865793,6100.457727808039,2020-Q1,peer-to-peer payments
Jammu & Kashmir,2020,1,Recharge & bill payments,341357,144213068.71202034,422.469932393419,2020-Q1,recharge & bill payments
Jammu & Kashmir,2020,1,Merchant payments,135241,131144418.96503358,969.7090302869217,2020-Q1,merchant payments
Jammu & Kashmir,2020,1,Financial Services,2350,2116665.1182805505,900.708560970447,2020-Q1,financial services
Jammu & Kashmir,2020,1,Others,7528,5530441.652102945,734.6495287065549,2020-Q1,others
Jammu & Kashmir,2020,4,Peer-to-peer payments,2378539,13736841259.979288,5775.327316465817,2020-Q4,peer-to-peer payments
Jammu & Kashmir,2020,4,Recharge & bill payments,1900075,536741118.30199385,282.4841747309942,2020-Q4,recharge & bill payments
Jammu & Kashmir,2020,4,Merchant payments,1377786,1045006123.4596367,758.4676600427329,2020-Q4,merchant payments
Jammu & Kashmir,2020,4,Financial Services,13578,17966592.697469097,1323.213484862947,2020-Q4,financial services
Jammu & Kashmir,2020,4,Others,84466,44350708.939814664,525.0717322924569,2020-Q4,others
Jammu & Kashmir,2020,2,Peer-to-peer payments,1238380,7426818530.258213,5997.2048404029565,2020-Q2,peer-to-peer payments
Jammu & Kashmir,2020,2,Recharge & bill payments,1028741,413037418.32063264,401.4979652999469,2020-Q2,recharge & bill payments
Jammu & Kashmir,2020,2,Merchant payments,341375,403026357.7674071,1180.5971666566302,2020-Q2,merchant payments
Jammu & Kashmir,2020,2,Financial Services,9130,10415041.341445928,1140.7493254595759,2020-Q2,financial services
Jammu & Kashmir,2020,2,Others,17380,12351591.57084975,710.678456320469,2020-Q2,others
Jammu & Kashmir,2020,3,Peer-to-peer payments,1787154,10837119046.792652,6063.897709314727,2020-Q3,peer-to-peer payments
Jammu & Kashmir,2020,3,Recharge & bill payments,1005745,443743222.500647,441.2084797842863,2020-Q3,recharge & bill payments
Jammu & Kashmir,2020,3,Merchant payments,642688,667957476.4350253,1039.3184195675435,2020-Q3,merchant payments
Jammu & Kashmir,2020,3,Financial Services,10111,13281733.802213533,1313.5925034332442,2020-Q3,financial services
Jammu & Kashmir,2020,3,Others,20200,15128281.341935568,748.9248189077014,2020-Q3,others
Jammu & Kashmir,2021,1,Peer-to-peer payments,2800201,14801220301.14875,5285.770664730407,2021-Q1,peer-to-peer payments
Jammu & Kashmir,2021,1,Recharge & bill payments,2554798,663747765.6760966,259.8044016302254,2021-Q1,recharge & bill payments
Jammu & Kashmir,2021,1,Merchant payments,1527253,1605408313.4781337,1051.1737829149026,2021-Q1,merchant payments
Jammu & Kashmir,2021,1,Financial Services,17276,20848657.8594191,1206.7989036477832,2021-Q1,financial services
